"fips","month_year","case_rate_100k","temperature","precipitation","pm2p5","wind_speed","humidity","lag_temperature","lag_precipitation","lag_pm2p5","lag_humidity","lag_wind_speed"
22045,"01/2010",0,49.258064516129,1.79,92.4,11.858064516129,73.4935483870968,NA,NA,NA,NA,NA
22051,"01/2010",0,49.8322580645161,1.79,124.07,10.3451612903226,73.9483870967742,NA,NA,NA,NA,NA
22053,"01/2010",0,47.1258064516129,2.32,88.52,7.71612903225806,79.2451612903226,NA,NA,NA,NA,NA
22055,"01/2010",0,47.5322580645161,1.84,101.62,6.50967741935484,76.5483870967742,NA,NA,NA,NA,NA
22057,"01/2010",0,48.9322580645161,0.93,96.2,8.73870967741935,78.4806451612903,NA,NA,NA,NA,NA
22063,"01/2010",0,46.5806451612903,1.39,100.23,5.8741935483871,74.6967741935484,NA,NA,NA,NA,NA
22071,"01/2010",0,47.2483870967742,1.99,128.22,9.32903225806452,76.5645161290323,NA,NA,NA,NA,NA
22075,"01/2010",0,51.7129032258064,3.73,76.93,9.99677419354839,75.0225806451613,NA,NA,NA,NA,NA
22079,"01/2010",0,45.2774193548387,2.64,103.04,5.40967741935484,72.5677419354839,NA,NA,NA,NA,NA
22087,"01/2010",0,49.2548387096774,2.99,97.39,13.2322580645161,74.6064516129032,NA,NA,NA,NA,NA
22093,"01/2010",0,47.0870967741935,1.81,124.01,9.66451612903226,77.0903225806452,NA,NA,NA,NA,NA
22095,"01/2010",0,47.6677419354839,2.29,120.01,9.4741935483871,73.2548387096774,NA,NA,NA,NA,NA
22097,"01/2010",0,47.0193548387097,1.72,97.94,6.14193548387097,77.6258064516129,NA,NA,NA,NA,NA
22101,"01/2010",0,47.6258064516129,1.9,90.32,7.11612903225806,75.8258064516129,NA,NA,NA,NA,NA
22103,"01/2010",0,44.2354838709677,1.48,100.44,4.73225806451613,76.9548387096774,NA,NA,NA,NA,NA
22105,"01/2010",0,45.3870967741936,1.69,96.38,5.50967741935484,73.9064516129032,NA,NA,NA,NA,NA
22109,"01/2010",0,46.7870967741936,0.88,77.21,8.3,86.2064516129032,NA,NA,NA,NA,NA
22117,"01/2010",0,43.8161290322581,4.59,86.26,4.87096774193548,72.0870967741936,NA,NA,NA,NA,NA
28045,"01/2010",0,44.5387096774194,2.81,93.31,4.54193548387097,76.5161290322581,NA,NA,NA,NA,NA
28047,"01/2010",0,45.9354838709677,3.78,87.24,7.60645161290323,73.0645161290323,NA,NA,NA,NA,NA
28059,"01/2010",0,45.2129032258064,5.69,87.48,6.27096774193548,73.1709677419355,NA,NA,NA,NA,NA
28109,"01/2010",0,44.0612903225806,3.07,87.03,4.83870967741935,72.5032258064516,NA,NA,NA,NA,NA
45013,"01/2010",0,48.2032258064516,5.12,95.74,9.74193548387097,69.9451612903226,NA,NA,NA,NA,NA
48001,"01/2010",0,44.758064516129,0.77,72.69,5.41612903225806,73,NA,NA,NA,NA,NA
48005,"01/2010",0,44.9064516129032,1.74,65.51,6.03548387096774,70.1709677419355,NA,NA,NA,NA,NA
48013,"01/2010",0,50.4741935483871,1.78,71.3,5.78064516129032,70.0354838709677,NA,NA,NA,NA,NA
48015,"01/2010",0,47.5516129032258,1.95,111,5.47741935483871,81.8032258064516,NA,NA,NA,NA,NA
48021,"01/2010",0,48.1709677419355,1.93,90.54,5.70322580645161,73.0483870967742,NA,NA,NA,NA,NA
48027,"01/2010",0,45.6193548387097,2.78,86.16,8.65483870967742,73.9096774193548,NA,NA,NA,NA,NA
48029,"01/2010",0,49.7161290322581,3.5,79.03,6.8258064516129,67.9741935483871,NA,NA,NA,NA,NA
48039,"01/2010",0,49.5935483870968,3.45,94.23,7.98709677419355,79.5709677419355,NA,NA,NA,NA,NA
48041,"01/2010",0,46.8225806451613,2.21,87.92,7.80645161290323,71.2290322580645,NA,NA,NA,NA,NA
48051,"01/2010",0,46.758064516129,1.29,85.3,6.48064516129032,72.3225806451613,NA,NA,NA,NA,NA
48055,"01/2010",0,48.0709677419355,2.29,90.59,7.49677419354839,72.0258064516129,NA,NA,NA,NA,NA
48057,"01/2010",0,51.8064516129032,2.78,62.65,8.29677419354839,78.7741935483871,NA,NA,NA,NA,NA
48073,"01/2010",0,44.1709677419355,0.56,69.95,4.51290322580645,70.4129032258064,NA,NA,NA,NA,NA
48091,"01/2010",0,46.8903225806452,2.98,96.54,9.55806451612903,72.4612903225807,NA,NA,NA,NA,NA
48099,"01/2010",0,45.1967741935484,2.28,75.56,6.88709677419355,70.6516129032258,NA,NA,NA,NA,NA
48113,"01/2010",0,43.9516129032258,3.45,124.94,6.30322580645161,68.0193548387097,NA,NA,NA,NA,NA
48139,"01/2010",0,43.9774193548387,1.81,122.65,7.15806451612903,72.1032258064516,NA,NA,NA,NA,NA
48149,"01/2010",0,47.9258064516129,1.91,81.77,5.95806451612903,73.6290322580645,NA,NA,NA,NA,NA
48157,"01/2010",0,49.5,1.32,109.27,8.74838709677419,71.7967741935484,NA,NA,NA,NA,NA
48161,"01/2010",0,45.1161290322581,1.21,79.45,8.09677419354839,76.1870967741935,NA,NA,NA,NA,NA
48167,"01/2010",0,50.6645161290323,3.65,95.39,9.9258064516129,79.5193548387097,NA,NA,NA,NA,NA
48177,"01/2010",0,49.2193548387097,2.79,73.6,4.48064516129032,64.9096774193548,NA,NA,NA,NA,NA
48187,"01/2010",0,48.7903225806452,2.18,85.47,7.69677419354839,67.8387096774194,NA,NA,NA,NA,NA
48199,"01/2010",0,45.7290322580645,3.9,72.13,3.39677419354839,77.0483870967742,NA,NA,NA,NA,NA
48201,"01/2010",0,49.041935483871,1.56,143.04,6.98064516129032,73.5677419354839,NA,NA,NA,NA,NA
48209,"01/2010",0,46.7612903225806,3.67,99.39,8.92903225806452,70.9483870967742,NA,NA,NA,NA,NA
48225,"01/2010",0,45.6967741935484,0.46,72.18,5.65806451612903,77.4838709677419,NA,NA,NA,NA,NA
48239,"01/2010",0,51.0935483870968,3.44,70.73,9.69677419354839,77.3870967741936,NA,NA,NA,NA,NA
48241,"01/2010",0,44.8870967741936,2.24,75.72,4.10645161290323,77.3548387096774,NA,NA,NA,NA,NA
48245,"01/2010",0,47.5129032258065,2.85,72.24,7.75483870967742,81.2193548387097,NA,NA,NA,NA,NA
48249,"01/2010",0,54.4483870967742,1.76,58.59,9.0741935483871,71.7774193548387,NA,NA,NA,NA,NA
48251,"01/2010",0,43.141935483871,3.24,107.97,7.71290322580645,77.7064516129032,NA,NA,NA,NA,NA
48287,"01/2010",0,47.0645161290323,0.91,84.44,6.21612903225806,74.3677419354839,NA,NA,NA,NA,NA
48289,"01/2010",0,44.7483870967742,0.73,77.11,7.76451612903226,76.7548387096774,NA,NA,NA,NA,NA
48291,"01/2010",0,47.1064516129032,1.34,102.94,4.81290322580645,72.0967741935484,NA,NA,NA,NA,NA
48293,"01/2010",0,45.5129032258065,1.99,81.24,8.88709677419355,70.6387096774194,NA,NA,NA,NA,NA
48309,"01/2010",0,44.0258064516129,3.71,81.91,8.37741935483871,70.7774193548387,NA,NA,NA,NA,NA
48331,"01/2010",0,45.7032258064516,0.87,81.46,6.4,76.2032258064516,NA,NA,NA,NA,NA
48339,"01/2010",0,46.7741935483871,1.49,118.09,4.32903225806452,75.1838709677419,NA,NA,NA,NA,NA
48349,"01/2010",0,44.6612903225806,2.07,100.09,7.81612903225806,72.0741935483871,NA,NA,NA,NA,NA
48351,"01/2010",0,45.0064516129032,2.52,82.15,3.85806451612903,78.9064516129032,NA,NA,NA,NA,NA
48355,"01/2010",0,53.3612903225806,2.18,65.07,11.0806451612903,78.2774193548387,NA,NA,NA,NA,NA
48361,"01/2010",0,46.8354838709677,3.88,76.06,6.15483870967742,77.8774193548387,NA,NA,NA,NA,NA
48373,"01/2010",0,46.1193548387097,2.98,70.35,3.73548387096774,76.2096774193548,NA,NA,NA,NA,NA
48395,"01/2010",0,45.2838709677419,0.52,81.03,7.56451612903226,70.2483870967742,NA,NA,NA,NA,NA
48409,"01/2010",0,52.7387096774194,1.75,67.13,9.4,76.4870967741935,NA,NA,NA,NA,NA
48439,"01/2010",0,43.9870967741935,2.34,111.58,6.99354838709677,65.7870967741935,NA,NA,NA,NA,NA
48453,"01/2010",0,47.2322580645161,3.08,96.16,5.28709677419355,71.3645161290323,NA,NA,NA,NA,NA
48457,"01/2010",0,44.4,3.06,64.45,4.7741935483871,75.3290322580645,NA,NA,NA,NA,NA
48471,"01/2010",0,46.041935483871,1.47,90.26,5.10967741935484,70.3741935483871,NA,NA,NA,NA,NA
48473,"01/2010",0,47.9806451612903,1.48,123.49,5.67741935483871,77.8709677419355,NA,NA,NA,NA,NA
48477,"01/2010",0,46.9387096774194,2.39,96.42,7.05483870967742,72.5451612903226,NA,NA,NA,NA,NA
48491,"01/2010",0,45.8741935483871,2.29,94.57,7.31935483870968,72.9322580645161,NA,NA,NA,NA,NA
48493,"01/2010",0,50.5064516129032,1.58,81.27,6.91612903225806,68.4967741935484,NA,NA,NA,NA,NA
1003,"01/2011",0,46.5709677419355,2.69,82.81,4.31612903225806,73.6290322580645,44.0677419354839,6.31,88.34,72.7322580645161,5.32258064516129
1031,"01/2011",0,44.2193548387097,3.14,86.63,5.91290322580645,74.3161290322581,43.2354838709677,6.24,81.56,67.5709677419355,5.69032258064516
1039,"01/2011",0,45.7,3.18,88.57,5.24516129032258,67.9354838709677,44.7870967741936,6.24,84.39,64.7806451612903,5.94193548387097
1045,"01/2011",0,44.2322580645161,3.15,93.42,5.26129032258065,71.4451612903226,42.6741935483871,8.3,79.08,69.1193548387097,5.99677419354839
1053,"01/2011",0,45.3290322580645,3.68,97.63,6.42258064516129,71.9193548387097,43.6967741935484,7.6,90.72,71.158064516129,7.88064516129032
1067,"01/2011",0,44.0129032258065,3.21,92.28,4.93548387096774,73.6322580645161,41.7161290322581,6.53,79.16,74.8387096774194,5.8741935483871
1069,"01/2011",0,45.7709677419355,3.33,180.18,6.67096774193548,72.9741935483871,44.5709677419355,7.75,126.51,69.2193548387097,8.2
1097,"01/2011",0,46.8709677419355,2.96,85.33,5.71612903225806,70.9677419354839,44.7096774193548,7.19,87.05,71.6225806451613,6.55806451612903
12001,"01/2011",0,50.7548387096774,3.07,114.86,4.31290322580645,75.7064516129032,48.5161290322581,3.51,218.82,71.7096774193548,4.9258064516129
12003,"01/2011",0,47.6258064516129,5.48,131.63,4.49032258064516,78.841935483871,47.0322580645161,3.81,294.96,73.7451612903226,4.21290322580645
12005,"01/2011",0,49.0354838709677,4.15,112.19,10.2258064516129,75.9290322580645,49.8387096774194,5.06,128.08,69.6290322580645,10.8677419354839
12007,"01/2011",0,49.6258064516129,3.69,117.44,3.93870967741936,78.8032258064516,47.7516129032258,4.61,223.27,74.0677419354839,4.21612903225806
12009,"01/2011",0,59.1096774193548,2.89,103.13,8.39677419354839,78.6387096774194,55.6129032258064,1.44,120.46,70.1451612903226,8.01290322580645
12015,"01/2011",0,59.5677419354839,1.9,115.26,5.87741935483871,81.6451612903226,56.1870967741935,1.66,197.2,72.5387096774193,7.98387096774194
12017,"01/2011",0,53.7967741935484,3.13,105.54,6.03870967741936,80.5677419354839,49.6193548387097,2.65,137.75,74.0548387096774,6.00967741935484
12019,"01/2011",0,50.3806451612903,3.8,111.37,4.33870967741935,78.8677419354839,48.5709677419355,3.33,148.06,72.3645161290323,5.41935483870968
12021,"01/2011",0,60.8612903225806,1.47,83.5,3.72903225806452,80.3903225806452,56.8161290322581,1.68,146.77,76.1032258064516,3.55161290322581
12023,"01/2011",0,47.7225806451613,6.22,123.06,4.79032258064516,81.3741935483871,47.0129032258065,4.25,289.11,70.5935483870968,4.63225806451613
